SIDO_DISTR,SIDO__DISTR,SIDO_NM,VOTE_POP,VOTE_CNT,VOTE_SPLT_POP,VOTE_SPLT_CNT,SCS_CD,SCS_PRT,CAN1,CAN1_PRT,CAN1_CNT,CAN2,CAN2_PRT,CAN2_CNT,CAN3,CAN3_PRT,CAN3_CNT,CAN4,CAN4_PRT,CAN4_CNT
경기도오산시,경기도_오산시,경기도,193088,116246,76842,1672,차지호,더불어민주당,차지호,더불어민주당,67619,김효은,국민의힘,46955,0,0,0,0,0,0
경기도용인시갑,경기도_용인시갑,경기도,225977,143131,82846,1699,이상식,더불어민주당,이상식,더불어민주당,71030,이원모,국민의힘,61995,양향자,개혁신당,4543,우제창,무소속,3864
경기도용인시병,경기도_용인시병,경기도,220492,163843,56649,1618,부승찬,더불어민주당,부승찬,더불어민주당,81538,고석,국민의힘,80687,0,0,0,0,0,0
경기도용인시을,경기도_용인시을,경기도,229759,159027,70732,1522,손명수,더불어민주당,손명수,더불어민주당,87739,이상철,국민의힘,65676,유시진,개혁신당,4090,0,0,0
경기도용인시정,경기도_용인시정,경기도,223886,162556,61330,1656,이언주,더불어민주당,이언주,더불어민주당,82156,강철호,국민의힘,75436,이기한,새로운미래,3308,0,0,0
경기도의왕시과천시,경기도_의왕시과천시,경기도,202961,151652,51309,1504,이소영,더불어민주당,이소영,더불어민주당,81640,최기식,국민의힘,68508,0,0,0,0,0,0
경기도의정부시갑,경기도_의정부시갑,경기도,177927,109984,67943,1298,박지혜,더불어민주당,박지혜,더불어민주당,59660,전희경,국민의힘,47221,천강정,개혁신당,1805,0,0,0
경기도의정부시을,경기도_의정부시을,경기도,222648,145767,76881,1592,이재강,더불어민주당,이재강,더불어민주당,79697,이형섭,국민의힘,64478,0,0,0,0,0,0
경기도이천시,경기도_이천시,경기도,188859,118732,70127,1471,송석준,국민의힘,엄태준,더불어민주당,57070,송석준,국민의힘,60191,0,0,0,0,0,0
경기도파주시갑,경기도_파주시갑,경기도,226611,147465,79146,1480,윤후덕,더불어민주당,윤후덕,더불어민주당,92611,박용호,국민의힘,53374,0,0,0,0,0,0
